학번,성함,성별,이메일,RC,호실,1001,1002,1003,1004,1005,1006,1007,1008,1009,1028
22000184,이준영,M,22000184@handong.edu,장기려,118,23:14:42,23:13:32,23:23:31,23:48:06,23:45:26,23:29:46,23:24:08,23:42:46,23:28:58,
22000185,이준호,M,22000185@handong.edu,장기려,115,23:48:39,23:21:54,23:11:42,23:15:10,23:35:16,23:59:27,23:43:08,23:46:57,23:55:28,
22000186,이지성,M,22000186@handong.edu,장기려,104,23:16:19,23:51:06,23:22:24,23:56:45,23:08:10,23:44:27,23:43:48,23:32:17,23:17:24,
22000187,이지안,M,22000187@handong.edu,장기려,106,23:08:15,23:23:12,23:41:17,23:21:51,23:34:18,23:49:32,23:18:55,23:35:47,23:25:19,
22000188,이지완,M,22000188@handong.edu,장기려,113,23:37:53,23:18:31,23:03:28,23:08:10,23:22:36,23:19:38,23:05:06,23:05:23,23:07:43,
22000189,이지현,F,22000189@handong.edu,장기려,206,23:44:54,23:22:27,23:11:00,23:38:12,23:12:11,23:16:54,23:33:32,23:36:24,23:36:33,
22000190,이지환,M,22000190@handong.edu,장기려,106,23:28:20,23:39:15,23:01:02,23:51:23,23:55:32,23:13:48,23:25:19,23:34:21,23:10:21,
22000191,이채아,F,22000191@handong.edu,장기려,202,23:51:44,23:12:32,23:45:25,23:59:05,23:30:25,23:59:09,23:53:11,23:11:22,23:04:01,
22000192,이채원,F,22000192@handong.edu,장기려,202,23:56:54,23:12:33,23:09:34,23:31:57,23:33:07,23:03:52,23:47:58,23:26:26,23:07:07,
22000193,이태윤,M,22000193@handong.edu,장기려,103,23:30:41,23:00:09,23:07:50,23:32:11,23:22:10,23:25:24,23:38:43,23:45:19,23:07:34,
22000194,이태현,M,22000194@handong.edu,장기려,117,23:14:30,23:10:50,23:41:26,23:41:59,23:47:04,23:15:32,23:00:08,23:53:34,23:22:26,
22000195,이하윤,F,22000195@handong.edu,장기려,203,23:46:52,23:32:48,23:30:26,23:07:58,23:28:07,23:00:26,23:58:00,23:05:22,23:34:45,
22000196,이하은,F,22000196@handong.edu,장기려,213,23:36:38,23:30:14,23:54:19,23:04:38,23:00:05,23:29:35,23:50:08,23:12:46,23:59:09,
22000197,이한결,M,22000197@handong.edu,장기려,125,23:55:06,23:28:54,23:13:28,23:43:03,23:39:08,23:40:11,23:12:14,23:16:56,23:14:58,
22000198,이현서,M,22000198@handong.edu,장기려,107,23:50:25,23:50:33,23:48:39,23:33:16,23:25:55,23:53:03,23:10:10,23:45:14,23:04:14,
22000199,이현서,F,22000199@handong.edu,장기려,208,23:11:40,23:22:11,23:53:10,23:33:42,23:17:17,23:09:25,23:15:35,23:50:14,23:09:54,
22000200,이현준,M,22000200@handong.edu,장기려,119,23:17:39,23:37:22,23:24:59,23:32:47,23:06:10,23:53:18,23:58:22,23:38:42,23:22:02,
